timestamp	id	field	old_value	new_value	reason
2026-05-28T21:41:59Z	diablo-4	endless	in_catalog	remove?	Steam genres now list "Massively Multiplayer" (and "Free To Play"). Rule 7 would auto-remove, but owner explicitly added D4 knowing the main campaign is finite (CLAUDE.md §2 notes "D4 main campaign IS finite"). Live-service shell with seasonal battle pass is the concern. Owner decides whether the campaign-finite intent still holds.
2026-05-29T21:39:02Z	tales-of-berseria	oneCopy	remote-play		no_real_coop — Steam categories show only Multi-player + Shared/Split Screen, NO Co-op category. JRPG with battle-assist second-player slot, not genuine co-op gameplay
2026-05-29T21:39:02Z	solo-leveling-arise-overdrive	endless			live_service_gacha — Netmarble gacha-derived; ongoing chapter releases + 2 'endless' hits in negative reviews. Story arc may not have defined end despite 'Story Rich' tag
2026-05-29T21:39:02Z	alien-breed-impact	online_status	none		unclear_online_coop — 2010 game with Co-op category but NO Online Co-op category. Online multiplayer likely dead; may only work via Steam Remote Play
2026-05-29T21:39:02Z	fear-3	online_status	none		online_broken — 2011 GFWL-era title; Co-op category but no Online Co-op; online matchmaking dead, only Steam Remote Play viable
2026-05-29T21:43:34Z	void-crew	endless	in_catalog	remove_q	judgment_call — Steam community discussion explicitly asks 'with 1.0 upon us, is there an ending?'. Game has 3 biome bosses per random Pilgrimage but no narrative finale/credits. Self-described 'Co-op Roguelite' with focus on ongoing operation. Borderline endless; roguelite final-boss rule weak (different boss each run, no overarching game-complete moment). Owner decides keep vs remove.
2026-05-29T21:53:01Z	diablo-4		keep	remove	Steam genres include 'Massively Multiplayer'; live-service with seasons/battle pass. CLAUDE.md §2 acknowledges main campaign is finite, so judgment call. Verdict claims 'real ending' (campaign). Owner decides whether to keep on basis of finite campaign vs MMO-genre marker.
2026-05-30T05:10:36Z	icarus	endless	in_catalog	remove_q	judgment_call — base game is session-based mission grind with no story ending / no campaign credits per official forums and wiki. Players retain levels but lose every base on mission completion; mirrors Deep Rock Galactic mission-grind pattern (CLAUDE.md §2 explicit exclusion). Great Hunts DLC adds world-boss missions but core game has no 'finished the game' beat. Verdict in data.js literally says 'Session-based survival'. Owner decides keep vs remove.
2026-05-30T05:10:41Z	grounded-2	endless	in_catalog	remove_q	judgment_call — released 2025-07-29 as Early Access; only Act 1 of the story currently in-game, full 1.0 expected ~2027 with the survival-goal finale. Stored endingType=survival-goal anticipates the planned 1.0 finale that has NOT shipped yet. Borderline per CLAUDE.md §6 ('Released as Early Access without announced endgame' is a strong signal — here endgame IS announced, just unshipped). Owner decides whether to keep based on planned ending vs strict 'must currently have an ending' rule.
2026-05-30T12:28:14Z	void-crew	endingType	roguelite	endless	Web search confirms no defined ending — bosses are progression checkpoints, not finale. Multiple Steam discussions: 'Any chance of a mode with a defined end?' and 'End Game is too boring'. Endless Mode + stepping-stones design. Fails roguelite decision-tree: no 'recognizable beat the game moment'. CLAUDE.md §2 forbids endless games.
2026-05-30T16:35:32Z	grounded-2	endless	in_catalog	remove?	ea_without_shipped_endgame — Grounded 2 released as Early Access 2025-07-29 (Steam genres still list Early Access); survival-goal classification assumes the eventual final boss like Grounded 1, but the named win-condition is NOT yet shipped. Per CLAUDE.md rule 6 strong signals, EA without announced endgame is a removal trigger. Judgment call: owner trusted Obsidian to deliver — owner decides whether to keep until 1.0 or remove now.
2026-05-30T16:37:56Z	tales-of-vesperia	coop_gate	in_catalog	remove?	coop_fights_only — Steam categories: Multi-player + Remote Play Together, no Online Co-op. Tales franchise JRPG with second-player slot active ONLY during battle encounters; world map/story/dialogue/exploration are P1-only. Same pattern as tales-of-berseria (CLAUDE.md §2 'many JRPGs — Tales of Berseria, Trials of Mana' fights-only example). Already logged tales-of-berseria with same reason 2026-05-29.
2026-05-30T17:23:37Z	tales-of-symphonia	coop_gate	in_catalog	remove?	coop_fights_only — Steam categories show Co-op + Shared/Split Screen but NO Online Co-op; Tales-franchise JRPG where second player only joins during battle encounters, P1 owns story/world map/dialogue/exploration. Same fights-only pattern as tales-of-berseria (logged 2026-05-29) and tales-of-vesperia (logged 2026-05-30); CLAUDE.md §2 + taxonomy.finish_strength.co_op_finish_test rule 1 explicitly call out 'Tales of Berseria' as the archetype. Verdict itself says 'each co-op player runs a hero in battle'.
2026-05-30T17:26:14Z	tales-of-zestiria	coop_gate	in_catalog	remove?	coop_fights_only — Steam categories: Multi-player + Shared/Split Screen + Remote Play Together, NO Co-op / NO Online Co-op category. Tales-franchise JRPG where second-player slot is active ONLY during battle encounters; P1 owns world map / dialogue / story / exploration. Same fights-only pattern as tales-of-berseria (2026-05-29), tales-of-vesperia (2026-05-30), tales-of-symphonia (2026-05-30). CLAUDE.md §2 + taxonomy.finish_strength.co_op_finish_test rule 1 cite 'Tales of Berseria' as the archetype. Verdict literally says 'a friend controls a party member' through the ~50h story.
2026-05-30T17:26:18Z	legend-of-mana	coop_gate	in_catalog	remove?	coop_fights_only — Steam categories: Co-op + Shared/Split Screen Co-op + Remote Play Together, NO Online Co-op. Mana-series action-RPG: P2 (and P3) join as guest battle characters during dungeon combat; world map (Land Make), towns, NPC dialogue, quest progression are P1-only. Verdict itself says 'a second player joins combat as an ally'. CLAUDE.md §2 explicitly cites the Mana series ('Trials of Mana') as the fights-only JRPG archetype to reject. Judgment call — Mana 2P/3P guest is a softer version of the pattern than Tales since P2 can move during dungeon traversal too, but story / world / quest progression is still P1-only. Owner decides.
2026-05-30T17:39:06Z	ys-ix-monstrum-nox	coop_gate	in_catalog	remove?	coop_fights_only — Steam categories: Multi-player + Co-op + Shared/Split Screen Co-op + Remote Play Together, NO Online Co-op category. Falcom action-JRPG with Adol as single protagonist; second-player Remote Play seat controls a guest party member during BATTLES only — world map / story / dialogue / menus / exploration are P1-only. Same fights-only pattern as tales-of-berseria (2026-05-29), tales-of-vesperia/symphonia/zestiria (2026-05-30) and legend-of-mana (2026-05-30). CLAUDE.md §2 + taxonomy.finish_strength.co_op_finish_test rule 1 explicitly cite JRPG combat-only co-op as reject. Verdict itself says 'drop-in party co-op via Remote Play' — i.e. drop-in for battle, not co-op progression. Judgment call: owner decides.
2026-05-30T17:43:35Z	killsquad	endless	in_catalog	remove?	endless_contracts — Wikipedia + Steam discussions confirm Killsquad is a session-based bounty-hunter ARPG with no story and no traditional ending; replayable contracts loop indefinitely, Colosseum of the Unseen is endgame challenge mode not a finale. Violates CLAUDE.md §2 (no finish). Verdict 30+ contracts across 5 planets framed it as a campaign but it is actually an endless contract grinder. Owner: confirm removal.
